id,submissionLink,submitters,emails,isVideo
1,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,١٢٣,᠎,false
2,1/0,$1.00,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,true
3, ,﻿,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,false
4,¡™£¢∞§¶•ªº–≠,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"""'""'""''''""",false
5,␡,åß∂ƒ©˙∆˚¬…æ,-$1.00,false
6,!@#$%^&*(),᠎, ,true
7,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",-$1.00,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,false
8,"<>?:""{}|_+",✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,00˙Ɩ$-,false
9,1/2,部落格,'',true
10,¸˛Ç◊ı˜Â¯˘¿,"""",​,true
11,NULL,👩🏽,<script>alert('hi')</script>,true
12,　,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,`⁄€‹›ﬁﬂ‡°·‚—±,true
13,1'; DROP TABLE users--,⁰⁴⁵,パーティーへ行かないか,false
14,"""'""'""''''""",̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,true
15,울란바토르,社會科學院語學研究所,1/2,true
16,‪‪test‪, test ,¸˛Ç◊ı˜Â¯˘¿,false
17,␣,,-$1.00,true
